team_name,team_id,team_logo,over_under,doyle,tom,gass,points,year
Inter Miami,zeQZkL1MKw,https://american-soccer-analysis-headshots.s3.amazonaws.com/club_logos/zeQZkL1MKw.png,67.5,Over,Over,Over,0,2026
LAFC,eVq3ya6MWO,https://american-soccer-analysis-headshots.s3.amazonaws.com/club_logos/eVq3ya6MWO.png,62.5,Over,Over,Over,3,2026
Vancouver,lgpMOvnQzy,https://american-soccer-analysis-headshots.s3.amazonaws.com/club_logos/lgpMOvnQzy.png,61.5,Under,Under (Lock),Under,3,2026
Nashville,vzqoOgNqap,https://american-soccer-analysis-headshots.s3.amazonaws.com/club_logos/vzqoOgNqap.png,60.5,Over,Over,Under,3,2026
Seattle,jYQJ19EqGR,https://american-soccer-analysis-headshots.s3.amazonaws.com/club_logos/jYQJ19EqGR.png,58.5,Over (Lock),Under,Over,0,2026
Philadelphia,9z5k7Yg5A3,https://american-soccer-analysis-headshots.s3.amazonaws.com/club_logos/9z5k7Yg5A3.png,58.5,Under,Under,Under,0,2026
Cincinnati,NWMWlBK5lz,https://american-soccer-analysis-headshots.s3.amazonaws.com/club_logos/NWMWlBK5lz.png,57.5,Under,Over,Over,3,2026
San Diego,zeQZBOzQKw,https://american-soccer-analysis-headshots.s3.amazonaws.com/club_logos/zeQZBOzQKw.png,56.5,Under (Lock),Under,Under,3,2026
Chicago,X0Oq66zq6D,https://american-soccer-analysis-headshots.s3.amazonaws.com/club_logos/X0Oq66zq6D.png,55.5,Under,Under,Over (Lock),0,2026
Columbus,mvzqoLZQap,https://american-soccer-analysis-headshots.s3.amazonaws.com/club_logos/mvzqoLZQap.png,53.5,Under,Over,Under,0,2026
NYCFC,Vj58weDM8n,https://american-soccer-analysis-headshots.s3.amazonaws.com/club_logos/Vj58weDM8n.png,52.5,Under,Over (Lock),Over (Lock),0,2026
Charlotte,NPqxKXZ59d,https://american-soccer-analysis-headshots.s3.amazonaws.com/club_logos/NPqxKXZ59d.png,52.5,Under,Over,Over,1,2026
Orlando,jYQJ8EW5GR,https://american-soccer-analysis-headshots.s3.amazonaws.com/club_logos/jYQJ8EW5GR.png,50.5,Under,Over (Lock),Over (Lock),0,2026
Dallas,mKAqBBmqbg,https://american-soccer-analysis-headshots.s3.amazonaws.com/club_logos/mKAqBBmqbg.png,48.5,Over,Under,Over (Lock),3,2026
Galaxy,kaDQ0wRqEv,https://american-soccer-analysis-headshots.s3.amazonaws.com/club_logos/kaDQ0wRqEv.png,48.5,Under,Over,Under,0,2026
Austin,gpMOLwl5zy,https://american-soccer-analysis-headshots.s3.amazonaws.com/club_logos/gpMOLwl5zy.png,47.5,Under,Over,Over,1,2026
Minnesota,kRQand1MKZ,https://american-soccer-analysis-headshots.s3.amazonaws.com/club_logos/kRQand1MKZ.png,46.5,Under,Under,Under,1,2026
San Jose,0KPqjA456v,https://american-soccer-analysis-headshots.s3.amazonaws.com/club_logos/0KPqjA456v.png,45.5,Over (Lock),Over,Over,3,2026
Toronto,kRQabn8MKZ,https://american-soccer-analysis-headshots.s3.amazonaws.com/club_logos/kRQabn8MKZ.png,45.5,Under,Over (Lock),Under,0,2026
Houston,YgOMngl5wN,https://american-soccer-analysis-headshots.s3.amazonaws.com/club_logos/YgOMngl5wN.png,44.5,Under (Lock),Over,Over,3,2026
Colorado,pzeQZ6xQKw,https://american-soccer-analysis-headshots.s3.amazonaws.com/club_logos/pzeQZ6xQKw.png,43.5,Over,Over,Over,0,2026
Atlanta,KAqBN0Vqbg,https://american-soccer-analysis-headshots.s3.amazonaws.com/club_logos/KAqBN0Vqbg.png,43.5,Under,Over,Over,0,2026`
St. Louis,wvq9B9wQWn,https://american-soccer-analysis-headshots.s3.amazonaws.com/club_logos/wvq9B9wQWn.png,42.5,Over,Under,Under,1,2026
New England,19vQ2095K6,https://american-soccer-analysis-headshots.s3.amazonaws.com/club_logos/19vQ2095K6.png,42.5,Over (Lock),Under,Over,0,2026
Portland,WBLMvYAQxe,https://american-soccer-analysis-headshots.s3.amazonaws.com/club_logos/WBLMvYAQxe.png,41.5,Under,Over,Over,3,2026
RBNY,a2lqRX2Mr0,https://american-soccer-analysis-headshots.s3.amazonaws.com/club_logos/a2lqRX2Mr0.png,40.5,Under,Over (Lock),Under,3,2026
Real Salt Lake,a2lqR4JMr0,https://american-soccer-analysis-headshots.s3.amazonaws.com/club_logos/a2lqR4JMr0.png,39.5,Under,Under,Under,0,2026
Montreal,APk5LGOMOW,https://american-soccer-analysis-headshots.s3.amazonaws.com/club_logos/APk5LGOMOW.png,34.5,Over,Under,Over,0,2026
Sporting KC,Z2vQ1xlqrA,https://american-soccer-analysis-headshots.s3.amazonaws.com/club_logos/Z2vQ1xlqrA.png,30.5,Under,Under,Under,0,2026
D.C. United,EKXMeX3Q64,https://american-soccer-analysis-headshots.s3.amazonaws.com/club_logos/EKXMeX3Q64.png,28.5,Under,Over,Over,3,2026
